70BCSVG	
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
"[MEAS SETTING]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-62.3
"LSCL", 2.7
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE SETTING]"
"ACTIVE","G"
"TRACE A","FIX      ",1
"TRACE B","FIX      ",1
"TRACE C","FIX      ",1
"TRACE D","FIX      ",1
"TRACE E","FIX      ",1
"TRACE F","FIX      ",1
"TRACE G","FIX      ",1

"[TRACE A]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-62.3
"LSCL", 2.7
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE B]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-62.3
"LSCL", 2.7
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE C]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-62.3
"LSCL", 2.7
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE D]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-62.3
"LSCL", 2.7
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE E]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-62.3
"LSCL", 2.7
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE F]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-62.3
"LSCL", 2.7
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE G]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-62.3
"LSCL", 2.7
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE DATA]"
"Tr A(WL)","Tr A(LEVEL)[LOG]","Tr B(WL)","Tr B(LEVEL)[LOG]","Tr C(WL)","Tr C(LEVEL)[LOG]","Tr D(WL)","Tr D(LEVEL)[LOG]","Tr E(WL)","Tr E(LEVEL)[LOG]","Tr F(WL)","Tr F(LEVEL)[LOG]","Tr G(WL)","Tr G(LEVEL)[LOG]"
1500.0000, -78.146, 1500.0000, -77.981, 1500.0000, -78.147, 1500.0000, -78.073, 1500.0000, -78.233, 1500.0000, -78.456, 1500.0000, -78.341
1500.1000, -78.030, 1500.1000, -77.874, 1500.1000, -78.117, 1500.1000, -78.172, 1500.1000, -78.118, 1500.1000, -78.334, 1500.1000, -78.259
1500.2000, -77.957, 1500.2000, -77.748, 1500.2000, -78.016, 1500.2000, -77.795, 1500.2000, -78.059, 1500.2000, -78.203, 1500.2000, -78.059
1500.3000, -77.775, 1500.3000, -77.596, 1500.3000, -77.853, 1500.3000, -77.732, 1500.3000, -77.900, 1500.3000, -78.028, 1500.3000, -77.969
1500.4000, -77.560, 1500.4000, -77.496, 1500.4000, -77.667, 1500.4000, -77.697, 1500.4000, -77.734, 1500.4000, -77.833, 1500.4000, -77.827
1500.5000, -77.472, 1500.5000, -77.371, 1500.5000, -77.456, 1500.5000, -77.452, 1500.5000, -77.507, 1500.5000, -77.703, 1500.5000, -77.708
1500.6000, -77.314, 1500.6000, -77.222, 1500.6000, -77.396, 1500.6000, -77.317, 1500.6000, -77.518, 1500.6000, -77.555, 1500.6000, -77.569
1500.7000, -77.274, 1500.7000, -77.148, 1500.7000, -77.232, 1500.7000, -77.147, 1500.7000, -77.396, 1500.7000, -77.593, 1500.7000, -77.553
1500.8000, -77.216, 1500.8000, -76.939, 1500.8000, -77.263, 1500.8000, -77.189, 1500.8000, -77.340, 1500.8000, -77.472, 1500.8000, -77.403
1500.9000, -77.081, 1500.9000, -77.073, 1500.9000, -77.156, 1500.9000, -77.069, 1500.9000, -77.213, 1500.9000, -77.473, 1500.9000, -77.340
1501.0000, -76.957, 1501.0000, -76.919, 1501.0000, -77.061, 1501.0000, -77.044, 1501.0000, -77.163, 1501.0000, -77.413, 1501.0000, -77.358
1501.1000, -77.108, 1501.1000, -76.885, 1501.1000, -77.040, 1501.1000, -77.026, 1501.1000, -77.243, 1501.1000, -77.298, 1501.1000, -77.301
1501.2000, -77.078, 1501.2000, -76.860, 1501.2000, -77.184, 1501.2000, -76.903, 1501.2000, -77.161, 1501.2000, -77.382, 1501.2000, -77.309
1501.3000, -77.024, 1501.3000, -76.808, 1501.3000, -77.050, 1501.3000, -76.981, 1501.3000, -77.214, 1501.3000, -77.305, 1501.3000, -77.267
1501.4000, -76.997, 1501.4000, -76.881, 1501.4000, -77.033, 1501.4000, -76.948, 1501.4000, -77.167, 1501.4000, -77.408, 1501.4000, -77.253
1501.5000, -76.958, 1501.5000, -76.820, 1501.5000, -76.987, 1501.5000, -77.000, 1501.5000, -77.144, 1501.5000, -77.335, 1501.5000, -77.184
1501.6000, -76.937, 1501.6000, -76.725, 1501.6000, -76.982, 1501.6000, -76.853, 1501.6000, -77.039, 1501.6000, -77.189, 1501.6000, -77.129
1501.7000, -76.850, 1501.7000, -76.609, 1501.7000, -76.919, 1501.7000, -76.854, 1501.7000, -76.942, 1501.7000, -77.175, 1501.7000, -77.134
1501.8000, -76.931, 1501.8000, -76.580, 1501.8000, -76.954, 1501.8000, -76.797, 1501.8000, -76.949, 1501.8000, -77.208, 1501.8000, -77.044
1501.9000, -76.881, 1501.9000, -76.589, 1501.9000, -76.812, 1501.9000, -76.761, 1501.9000, -76.960, 1501.9000, -77.057, 1501.9000, -77.037
1502.0000, -76.836, 1502.0000, -76.629, 1502.0000, -76.760, 1502.0000, -76.755, 1502.0000, -76.860, 1502.0000, -76.949, 1502.0000, -76.989
1502.1000, -76.724, 1502.1000, -76.488, 1502.1000, -76.664, 1502.1000, -76.632, 1502.1000, -76.868, 1502.1000, -76.939, 1502.1000, -76.885
1502.2000, -76.693, 1502.2000, -76.493, 1502.2000, -76.606, 1502.2000, -76.411, 1502.2000, -76.744, 1502.2000, -76.830, 1502.2000, -76.833
1502.3000, -76.662, 1502.3000, -76.390, 1502.3000, -76.529, 1502.3000, -76.520, 1502.3000, -76.579, 1502.3000, -76.751, 1502.3000, -76.845
1502.4000, -76.507, 1502.4000, -76.294, 1502.4000, -76.480, 1502.4000, -76.364, 1502.4000, -76.604, 1502.4000, -76.739, 1502.4000, -76.669
1502.5000, -76.434, 1502.5000, -76.259, 1502.5000, -76.384, 1502.5000, -76.340, 1502.5000, -76.497, 1502.5000, -76.781, 1502.5000, -76.697
1502.6000, -76.373, 1502.6000, -76.174, 1502.6000, -76.382, 1502.6000, -76.297, 1502.6000, -76.443, 1502.6000, -76.661, 1502.6000, -76.651
1502.7000, -76.320, 1502.7000, -76.079, 1502.7000, -76.238, 1502.7000, -76.235, 1502.7000, -76.360, 1502.7000, -76.587, 1502.7000, -76.576
1502.8000, -76.356, 1502.8000, -76.067, 1502.8000, -76.232, 1502.8000, -76.197, 1502.8000, -76.321, 1502.8000, -76.565, 1502.8000, -76.414
1502.9000, -76.243, 1502.9000, -75.987, 1502.9000, -76.214, 1502.9000, -76.190, 1502.9000, -76.269, 1502.9000, -76.424, 1502.9000, -76.308
1503.0000, -76.160, 1503.0000, -75.970, 1503.0000, -76.144, 1503.0000, -76.097, 1503.0000, -76.182, 1503.0000, -76.304, 1503.0000, -76.345
1503.1000, -76.049, 1503.1000, -75.847, 1503.1000, -76.065, 1503.1000, -76.041, 1503.1000, -76.145, 1503.1000, -76.262, 1503.1000, -76.188
1503.2000, -76.069, 1503.2000, -75.794, 1503.2000, -76.061, 1503.2000, -76.025, 1503.2000, -76.128, 1503.2000, -76.233, 1503.2000, -76.215
1503.3000, -75.970, 1503.3000, -75.871, 1503.3000, -75.959, 1503.3000, -75.990, 1503.3000, -76.156, 1503.3000, -76.180, 1503.3000, -76.232
1503.4000, -75.953, 1503.4000, -75.750, 1503.4000, -75.887, 1503.4000, -75.911, 1503.4000, -76.014, 1503.4000, -76.129, 1503.4000, -76.107
1503.5000, -75.880, 1503.5000, -75.754, 1503.5000, -75.860, 1503.5000, -75.899, 1503.5000, -75.878, 1503.5000, -75.997, 1503.5000, -75.987
