70BCSVG	
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
"[MEAS SETTING]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1560.000000
"SPAN", 100.000000
"START WL",1510.000000
"STOP WL",1610.000000
"WLFREQ", 0
"REFL",-51.3
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE SETTING]"
"ACTIVE","G"
"TRACE A","FIX      ",1
"TRACE B","FIX      ",1
"TRACE C","FIX      ",1
"TRACE D","FIX      ",1
"TRACE E","FIX      ",1
"TRACE F","FIX      ",1
"TRACE G","WRITE    ",1

"[TRACE A]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1560.000000
"SPAN", 100.000000
"START WL",1510.000000
"STOP WL",1610.000000
"WLFREQ", 0
"REFL",-51.3
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE B]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1560.000000
"SPAN", 100.000000
"START WL",1510.000000
"STOP WL",1610.000000
"WLFREQ", 0
"REFL",-51.3
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE C]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1560.000000
"SPAN", 100.000000
"START WL",1510.000000
"STOP WL",1610.000000
"WLFREQ", 0
"REFL",-51.3
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE D]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1560.000000
"SPAN", 100.000000
"START WL",1510.000000
"STOP WL",1610.000000
"WLFREQ", 0
"REFL",-51.3
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE E]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1560.000000
"SPAN", 100.000000
